PartyName,PartyNameEnglish,Abbreviation,EstablishmentDate,MemberCount,Leadership,EstablishmentApprovalDate,RegistrationApplicationDate,RegistrationApprovalDate,ApprovedPartyNumber,PartyFlag,PartySeal,Chairman,Region,Headquarters,Contact,Policy
အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,National Democratic Force,NDF,27.5.2010,19,ဒေါက်တာသန်းငြိမ်း၊ ဦးတိုးပို,14.6.2010,24.6.2010,9.7.2010,38,https://storage.googleapis.com/staticassets/political/34-flag.png,https://storage.googleapis.com/staticassets/political/34-logo.jpg,ဦးခင်မောင်ဆွေ ၊ ဦးကြည်သန်း (တွင်း/မှူး-၁),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၄၇)၊ ပထမထပ်၊ အနောက်မြင်းပြိုင် ကွင်းလမ်း၊ ဗဟန်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-5059640(ဥက္ကဌ), 09-5137373(တွင်းမှူး/၁), 09-2228347(တွင်းမှူး/၂)",http://uecmyanmar.org/images/stories/policals_policies/34National%20Democratic%20Force%20NDF.pdf
စည်းလုံးညီညွတ်ရေးနှနှင့်ဒီမိုကရေစီပါတီ ကချင်ပြည်နယ်(စဒက),Unity and Democracy Party of Kachin State,UDPKS,2.7.2010,15,ဦးခက်ထိန်နန်၊ ဦးဖော်လားကမ်ဖန်,16.7.2010,23.7.2010,2.8.2010,40,https://storage.googleapis.com/staticassets/political/35-flag.jpg,https://storage.googleapis.com/staticassets/political/35-logo.jpg,ဦးခက်ထိန်နန်၊ ဒေါ်ဒွဲဘူ,ကချင်ပြည်နယ်အတွင်း,အမှတ်(၂၃၈/ခ)၊ ပြည်ထောင််စုလမ်းမကြီး (ရွှေပြည်စံခန်းမဘေး)၊ ယုဇနရပ်ကွက်၊ မြစ်ကြီးနားမြို့၊ ကချင်ပြည်နယ်။,"09-8612356, 09-9041486",http://uecmyanmar.org/images/stories/policals_policies/35/35.1.pdf
ကရင်ပြည်နယ်ဒီမိုကရေစီနှနှင့်ဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,Kayin State Democracy and Development  Party,KSDPP,11.8.2010,27,ဦးစောသာထူးကျော်၊ ဦးစောအောင်ငွေ,12.8.2010,12.8.2010,19.8.2010,41,https://storage.googleapis.com/staticassets/political/36-flag.jpg,https://storage.googleapis.com/staticassets/political/36-logo.jpg,ဦးစောသာထူးကျော်၊ ဦးစောသန်းမြ,ကရင်ပြည်နယ်အတွင်း,အမှတ်(၇)ရပ်ကွက်၊ ဦးအောင်မြတ်လမ်း၊ ဘားအံမြို့၊ ကရင်ပြည်နယ်။,09-8730438(ဦးစောသန်းမြ),http://uecmyanmar.org/images/stories/policals_policies/36Kayin%20State%20Democracy%20and%20Development%20Party%20KSDDP.pdf
အမျိုးသားဖွံ့ဖြိုးတိုးတက်ရေးနှင့်ငြိမ်းချမ်းရေးပါတီ,National Development and Peace Party,NDPP,16.7.2010,18,ဦးအလီဟူဆိန်၊ ဦးမာမောက်ဆော်လိမ်,29.7.2010,16.8.2010,24.8.2010,42,https://storage.googleapis.com/staticassets/political/37-flag.jpg,https://storage.googleapis.com/staticassets/political/37-logo.jpg,ဦးမာမောက်ဆော်လိမ်၊ ဦးအောင်ဝင်း(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၁၇/၁၉)၊ ပထမထပ်(ဝဲ)ခန်း၊ (၁၀၀)လမ်း၊ လွတ်လပ်ရေးရပ်ကွက်၊ မင်္ဂလာတောင်ညွန့်မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-5141237, 09-5174461, 09-73127914, 09-73117001",http://uecmyanmar.org/images/stories/policals_policies/37National%20Development%20and%20Peace%20Party.pdf
ပြည်သူ့ဒီမိုကရေစီပါတီ,People Democracy Party,,13.6.2011,16,ဒေါက်တာသန်းထိုက်ဦး၊ ဦးအောင်မြင့်,20.7.2011,3.8.2011,23.9.2011,43,https://storage.googleapis.com/staticassets/political/38-flag.jpg,https://storage.googleapis.com/staticassets/political/38-logo.jpg,ဒေါက်တာသန်းထိုက်ဦး ၊ ဦးအောင်မြင့်(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၃၉/ခ)၊ ရေသန့်ရပ်၊ တံခွန်တိုင်ရပ်ကွက်၊ ပြည်ကြီးတံခွန်မြို့နယ်၊ မန္တလေးတိုင်းဒေသကြီး။,"09-43176080, 02-5154902, 09-43011456(ဦးသန်းထိုက်ဦး), 09-43060910(ဦးအောင်မြနှင့်)",http://uecmyanmar.org/images/stories/policals_policies/38People%20Democracy%20Party.pdf
အမျိုးသားဒီမိုကရေစီပါတီသစ် ပါတီ,New National Democracy Party,,4.7.2011,20,ဦးသိန်းညွန့်၊ ဦးကြည်မြနှင့် (ယခင်)၊ ဦးကျော် (ယခု),23.8.2011,8.9.2011,4.10.2011,44,https://storage.googleapis.com/staticassets/political/39-flag.jpg,https://storage.googleapis.com/staticassets/political/39-logo.jpg,ဦးသိန်းညွန့်၊ ဦးကျော်(တွင်း/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၇၂)၊လေးဒေါနှင့်ကန်လမ်း၊ (ဇ/မြောက်ရပ်ကွက်)သင်္ကန်းကျွန်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-73095628 (ဦးသိန်းညွန့်), 09-73005267(ဦးဝင်းရွှေ), 0973020813",http://uecmyanmar.org/images/stories/policals_policies/39New%20National%20Democracy%20Party.pdf
ဗမာပြည်သူ့ပါတီ,Bamar People`s Party,,12.7.2011,16,ဦးအုန်းလွင်(နုတ်ထွက်)၊ ဦးထွန်းရွှေ (ကွယ်လွန်),2.9.2011,5.9.2011,14.10.2011,46,https://storage.googleapis.com/staticassets/political/40-flag.jpg,https://storage.googleapis.com/staticassets/political/bamar-logo.jpg,ဦးအောင်သန်းတင့်၊ ဦးသက်ဦး(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၁၀)၊ဂေါသကလမ်း၊ သာယာကုန်း ရပ်ကွက်၊ မင်္ဂလာတောင်ညွန့်မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"01-296693, 01-553644(ဦးထွန်းရွှေ)",http://uecmyanmar.org/images/stories/policals_policies/40Party%20for%20Unity%20and%20Peace.pdf
အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,National League for Democracy,,25.11.2011,21,ဦးတင်ဦး၊ ဒေါ်အောင်ဆန်းစုကြည်,12.12.2011,23.12.2011,5.1.2012,47,https://storage.googleapis.com/staticassets/political/41-flag.png,https://storage.googleapis.com/staticassets/political/41-logo.jpg,ဒေါ်အောင်ဆန်းစုကြည်၊ ဦးဉာဏ်ဝင်း,ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၉၇/ခ)၊အနောက်ရွှေဂုံတိုင်လမ်း၊ ဗဟန်း မြို့နယ် ၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-5159457(PSO), 09-5179247(ဦးဉာဏ်ဝင်း), 01-555156(ရုံးဖုန်း/ဖက်စ်)",http://uecmyanmar.org/images/stories/policals_policies/41National%20League%20for%20Democracy.pdf
မြန်မာ့လူ့ဘောင်သစ်ဒီမိုကရက်တစ်ပါတီ,Democracy Party For Myanmar New Society,,2.11.2011,18,ဦးဇင်အောင်၊ ဦးသိန်းထွန်း,6.12.2011,23.12.2011,16.1.2012,49,https://storage.googleapis.com/staticassets/political/42-flag.jpg,https://storage.googleapis.com/staticassets/political/42-logo.jpg,ဦးဇင်အောင်၊ ဦးသိန်းထွန်း(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၆)၊ ထန်းပင်ကုန်းလမ်းမကြီး၊ ထန်းပင်ကုန်းရပ်ကွက်၊ သန်လျင်မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-425019450(ဥက္ကဌ), 056-21980",http://uecmyanmar.org/images/stories/policals_policies/42Democratic%20Party%20For%20Myanmar%20New%20Society.pdf
မြန်မာ့အမျိုးသားကွန်ဂရက်ပါတီ,Myanmar National Congress,,21.11.2011,18,ဦးကောင်းမြင့်ထွဋ်၊ ဦးတင်အေး,20.12.2011,3. 1.2012,23. 1.2012,50,https://storage.googleapis.com/staticassets/political/43-flag.jpg,https://storage.googleapis.com/staticassets/political/43-logo.jpg,ဦးကောင်းမြတ်ထွဋ်၊ ဦးတင်အောင်(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၈၄-က)၊ ဒေါ်သိန်းတင်လမ်း၊ ကန်တော် လေးမြောက်ရပ်ကွက်၊ မင်္ဂလာတောင်ညွန့်မြို့နယ် ၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-49288097(ဦးကောင်မြနှင့်ထွဋ်), 01-394828, 01-391158(ရုံး)",http://uecmyanmar.org/images/stories/policals_policies/43Myanmar%20National%20Congress.pdf
ကရင်ဒီမိုကရက်တစ်ပါတီ,Kayin Democratic Party,,28.11.2011,15,ဦးစောသန်းကျော်ဦး၊ စောရဲဝင်းနိုင်,23.12.2011,5. 1.2012,1. 2.2012,51,https://storage.googleapis.com/staticassets/political/44-flag.jpg,https://storage.googleapis.com/staticassets/political/44-logo.jpg,စောရှားထွန့်ဖေါင်(ကွယ်လွန်) ၊ စတင်းတင်း(တွင်း/မှူး),ကရင်ပြည်နယ်အတွင်း,အမှတ်(၂၅၄)၊ ဗိုလ်ချုပ်လမ်းမကြီး၊ အမှတ် (၉)ရပ်ကွက်(ရေကျော်)၊ ဘားအံမြို့နယ် ၊ ကရင်ပြည်နယ်။,09-497772318(စောသန်းကျော်ဦး),http://uecmyanmar.org/images/stories/policals_policies/44Kayin%20Democratic%20Party.pdf
မြိုတိုင်းရင်းသားပါတီ,Mro Nationality Party,,13.12.2011,19,ဦးအေးထွန်း၊ ဦးအနု,24.1.2012,10.2.2012,28. 2.2012,52,https://storage.googleapis.com/staticassets/political/45-flag.jpg,https://storage.googleapis.com/staticassets/political/45-logo.jpg,ဦးအေးထွန်း၊ ဦးမင်းအောင်,ရခိုင်ပြည်နယ်အတွင်း,အမှတ်(၄)ရပ်ကွက်၊ သပြေကုန်း၊ ဘူးသီးတောင် မြို့ ၊ ရခိုင်ပြည်နယ်။,09-425301804(ဦးသာဘန်းအောင်မှ တစ်ဆင့် ဆက်သွယ်ရန်),http://uecmyanmar.org/images/stories/policals_policies/45Mro%20Nationality%20Party.pdf
တိုင်းလိုင် ( ရှမ်းနီ ) အမျိုးသားများဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,Tai-Leng Nationalities Development Party,T.N.D.P,20.1.2012,18,ဦးဌေးအောင်၊ ဦးစောဝင်းထွန်း,16.2.2012,8.3.2012,10.5.2012,53,https://storage.googleapis.com/staticassets/political/46-flag.jpg,https://storage.googleapis.com/staticassets/political/46-logo.jpg,ဦးစိုင်းဌေးအောင် ၊ ဦးစိုင်းအုန်းအုန်း(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,တ-၂/၈၅ မြို့သစ် (၁) ရပ်ကွက်၊ ချမ်းမြ သာစည်မြို့နယ်၊ မန္တလေးတိုင်းဒေသကြီး ။,"09-47015543(ဦးစိုင်းဌေးအောင်), 09-2016916(ဦးစောဝင်းထွန်း)",http://uecmyanmar.org/images/stories/policals_policies/46Tai-Leng%20Nationalities%20Development%20Party%20T.N.D.P.pdf
အရှိုချင်းအမျိုးသားပါတီ,Asho Chin National Party,,15.2.2012,17,ဆလိုင်းအောင်မင်းလှိုင်၊ ဆလိုင်းဟန်ကြည်,7.5.2012,16.5.2012,5.6.2012,55,https://storage.googleapis.com/staticassets/political/48-flag.jpg,https://storage.googleapis.com/staticassets/political/48-logo.jpg,ဦးဆလိုင်းဟန်ကြည် ၊ ဦးဆလိုင်းအောင်မင်းလှိုင်(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အခန်း(၅၂)၊ (၇)လွှာ၊ တိုက်အမှတ်(၁၂၀)၊ ရန်ကုန်-အင်းစိန်လမ်း၊ (၉)ရပ်ကွက်၊ လှိုင်မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး ။,"09-5043709, 01-646954(ဦးဆလိုင်းအောင်မင်းလှိုင်)",http://uecmyanmar.org/images/stories/policals_policies/48%20Asho%20Chin%20National%20Part.pdf
ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,Shan Nationalities League for Democracy,,16.3.2012,15,ဦးခွန်ထွန်ဦး၊ ဦးစိုင်းညွန့်လွင်,8.5.2012,23.5.2012,12.6.2012,56,https://storage.googleapis.com/staticassets/political/49-flag.jpg,https://storage.googleapis.com/staticassets/political/49-logo.jpg,ဦးခွန်ထွန်းဦး၊ ဦးစိုင်းညွန့်လွင်(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၂၆)၊ ပြည်လမ်း၊ (၉)မိုင်၊ (၅)ရပ်ကွက် မရမ်းကုန်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး ။,"09-73225564(ဦးခွန်ထွန်းဦး), 09-73241587(ဦးစိုင်းညွန့်လွင်)",http://uecmyanmar.org/images/stories/policals_policies/49Shan%20Nationalities%20League%20for%20Democracy.pdf
ဓနုတိုင်းရင်းသားလူမျိုးများဒီမိုကရေစီပါတီ,Danu National Democracy Party,,3.5.2012,27,ဦးမြသန်း၊ ဦးအောင်သိန်း,1.6.2012,14.6.2012,3.7.2012,57,https://storage.googleapis.com/staticassets/political/50-flag.jpg,https://storage.googleapis.com/staticassets/political/50-logo.jpg,ဦးမြသန်း၊ ဦးကျော်ဇော(တွင်း/မှူး-၁),ရှမ်းပြည်နယ်အတွင်း,လူဝင်မှု ကြီးကြပ်ရေးနှင အမျိုးသား မှတ်ပုံတင်ရေး ဦးစီးဌာနရုံး အနီး၊ ဗထူးလမ်း၊ စျေးတန်းရပ် ၊ ရွာငံမြို့နယ် ၊ ရှမ်းပြည်နယ်။,"09-49359008(ဦးမြသန်း), 09-49359655(ဦးကိုကို), 09-49597398(ဦးရဲလွင်ဦး), 09-49250264",http://uecmyanmar.org/images/stories/policals_policies/50Danu%20National%20Democracy%20Party.pdf
မွန်အမျိုးသားပါတီ,Mon National Party,,26.4.2012,15,ဦးသက်လွင်၊ ဦးနိုင်စိုးမြနှင့်(ခ)နိုင်တိုက်ပွန်,30.5.2012,7.6.2012,10.7.2012,58,https://storage.googleapis.com/staticassets/political/51-flag.jpg,https://storage.googleapis.com/staticassets/political/51-logo.jpg,ဦးနိုင်ငွေသိန်း၊ ဒေါက်တာ မင်းစိုးလင်း(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၁၈၁)၊ ရာဇာဓိရာဇ်လမ်း၊ မြိုင်သာယာရပ်ကွက်၊ မော်လမြိုင်မြို့နယ်၊  မွန်ပြည်နယ်။,"09-49807777(ဦးနိုင်စိုးမြနှင့်), 057-30213, 09-49801581(ဦးနိုင်စံလှိုင်)၊ 09-73019836(ဦးနိုင်ငွေသိန်း), 09-449004470",http://uecmyanmar.org/images/stories/policals_policies/51Mon%20Democracy%20Party.pdf
ဇိုမီးဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,Zomi Congress for Democracy,,8.3.2012,17,ဦးဂင့်ကမ်းလျန်၊ ဦးဇမ်ဇမုန်,5.7.2012,26.7.2012,17.8.2012,59,https://storage.googleapis.com/staticassets/political/52-flag.jpg,https://storage.googleapis.com/staticassets/political/52-logo.jpg,ဦးပူကျင့်ရှင်းထန် ၊ ပူဇမ်ဇမုန်(တွင်း/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၁၄၃)၊ ၅လွှာ၊ (၃၇) လမ်း၊ ကျောက်တံတားမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-43065624(ဦးဂနှင့်ကမ်းလျန်), 01-397389",http://uecmyanmar.org/images/stories/policals_policies/52%20Zomi%20Congress%20for%20Democracy.pdf
ရှမ်းပြည်ကိုးကန့်ဒီမိုကရက်တစ်ပါတီ,Shan State Kokang Democratic Party,,4.6.2012,17,ဦးအန်တိုနီစူ၊ ဦးဆူဝမ်းကွီး,18.7.2012,14.8.2012,31.8.2012,60,https://storage.googleapis.com/staticassets/political/53-flag.jpg,https://storage.googleapis.com/staticassets/political/53-logo.jpg,ဦးအန်တိုနီစူ၊ ဦးလှသိန်း,ရှမ်းပြည်နယ်အတွင်း,ကြည်ရှန်လမ်း၊ ရပ်ကွက်(၁)၊ တုံချန်၊ လောက်ကိုင်မြို့၊ ရှမ်းပြည်နယ်။,"09-402612868(ဦးမိုးထွန်း), 09-43189486  ",http://uecmyanmar.org/images/stories/policals_policies/53Shan%20State%20Kokang%20Democratic%20Party.pdf
မြန်မာနိုင်ငံတောင်သူလယ်သမားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,Myanmar Farmer’s Development Party,,22.8.2012,18,ဦးကျော်စွာစိုး(ခ)ဦးကျော်စွာအောင်၊ ဦးချစ်ဦး,24.9.2012,11.10.2012,6.11.2012,61,https://storage.googleapis.com/staticassets/political/54-flag.jpg,https://storage.googleapis.com/staticassets/political/54-logo.jpg,ဦးကျော်စွာစိုး(ခ) ဦးကျော်စွာအောင်၊ ဒေါ်ခင်သန်းဦး,ပြည်ထောင်စုတစ်ဝန်းလုံး,ခြံ-၂၂၊ ၁၆၆ လမ်း၊ တာမွေကြီးရပ်ကွက်၊ တာမွေမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-5177714(ဦးကျော်စွာစိုး), 01-543063",http://uecmyanmar.org/images/stories/policals_policies/54%20Myanmar%20Farmers'%20Development%20Party.pdf
အမျိုးသားညီညွတ်ရေးကွန်ဂရက်ပါတီ,National Unity Congress Party,,13.2.2012,17,ဦးမြင့်ဝေ၊ ဦးမောင်စိုး,15.10.2012,12.11.2012,28.2.2013,62,https://storage.googleapis.com/staticassets/political/55-flag.jpg,https://storage.googleapis.com/staticassets/political/55-logo.jpg,ဦးမြင့်ဝေ၊ ဦးမောင်စိုး,ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၂၈-A)၊ ပထမထပ်၊ မအူကုန်းလမ်းကျယ်၊ တာမွေမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"01-525537(ဦးမြင့်ဝေ), 09-6812180, 01-38810(ဦးမောင်စိုး)",http://uecmyanmar.org/images/stories/policals_policies/55National%20Unity%20Congress%20Party.pdf
ဒီမိုကရေစီနှင့်လူ့အခွင့်အရေးပါတီ,Democracy and Human Rights Party,,26.4.2012,22,ဦးကျော်မင်း(ခ)မာမောက်ရှောင်ရှူအာနောရူလာဟောက်၊ ဦးခင်ဇော်,19.10.2012,5.11.2012,12.  3.2013,63,https://storage.googleapis.com/staticassets/political/56-flag.jpg,https://storage.googleapis.com/staticassets/political/56-logo.jpg,ဦးကျော်မင်း(ခ)မာမောက်ရှောင်ရှူအာနောရူလာဟောက်၊ ဦးကျော်စိုးအောင်(တွင်း/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၁၁၆/၁၁၈) ၊ ၆ လွှာ(B)၊ ဘိုကလေးစျေးလမ်း၊ (၈) ရပ်ကွက်၊ ဗိုလ်တထောင်မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-5007348, 01-667880 (ဦးခင်ဇော်), 09-73247887(ဦးကျော်မင်း)",http://uecmyanmar.org/images/stories/policals_policies/56Democracy%20and%20Human%20Rights%20Party.pdf
လူမျိုးပေါင်းစုံဒီမိုကရေစီပါတီ(ကယားပြည်နယ်),All Nationals' Democracy Party Kayah State,AND,6.5.2013,17,ဦးဖိုးရယ် ၊ ဦးဆော်လမွန်,12.6.2013,27.6.2013,1.8.2013,64,https://storage.googleapis.com/staticassets/political/57flag.png,https://storage.googleapis.com/staticassets/political/57logo.jpg,ဦးဖိုးရယ် ၊ ဦးရှေးဖဲ,ကယားပြည်နယ်အတွင်း,န/၁၀၁၊သီရိဒေါလမ်း၊ နောင်ယား(က)ရပ်ကွက်၊ လွိုင်ကော်မြို့နယ်၊ ကယားပြည်နယ်။   ,"083-40251(ဦးဖိုးရယ်), 09-428006603(ဦးဆော်လမွန်)",http://uecmyanmar.org/images/stories/policals_policies/57/57.1.pdf
ကယားလူမျိုးစုဒီမိုကရေစီပါတီ,Kayah Unity Democracy Party,KUDP,10.4.2013,16,ဦးစောဒယ်နီယယ် ၊ ဦးနိုင်နိုင်ထွေး,11.6.2013,28.6.2013,9.8.2013,65,https://storage.googleapis.com/staticassets/political/58flag.jpg,https://storage.googleapis.com/staticassets/political/58logo.jpg,ဦးစောဒယ်နီယယ် ၊ ဦးစိုင်းနိုင်နိုင်ထွေး,ကယားပြည်နယ်အတွင်း,အမှတ်(၄၇)၊ ဟော်ကြီးလမ်း၊ မင်္ဂလာရပ်ကွက်၊ လွိုင်ကော်မြို့နယ်၊ ကယားပြည်နယ်။,"09-49354351(ဦးစောဒယ်နီယယ်), 09-49403054(ဦးထွန်းကြိုင်)",http://uecmyanmar.org/images/stories/policals_policies/58Kayah%20Unity%20Democracy%20Party%20KUDP.pdf
အမျိုးသားတိုးတက်မြင့်မားရေးပါတီ,National Prosperity Party,,30.4.2013,19,ဦးအောင်နိုင်ထွန်း ၊ ဦးဇေယျာဝင်းမြင့်,17.9.2013,17.10.2013,4.12.2013,66,https://storage.googleapis.com/staticassets/political/59flg.jpg,https://storage.googleapis.com/staticassets/political/59logo.jpg,,ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၁၇)၊ တတိယထပ်၊ မလွှကုန်းလမ်း၊ ကျောက်မြောင်းရပ်ကွက်၊တာမွေမြို့နယ်  ,"09-49364232, 09-428034363",http://uecmyanmar.org/images/stories/policals_policies/59National%20Prosperity%20Party.pdf
ကချင်ပြည်နယ်ဒီမိုကရေစီပါတီ,Kachin State Democracy Party,,28.8.2013,17,ဦးမနာမ်တူးဂျာ ၊ ဦးဇော်မိုးနော်,30.10.2013,11.11.2013,10.12.2013,67,https://storage.googleapis.com/staticassets/political/60flg.jpg,https://storage.googleapis.com/staticassets/political/60logo.jpg,,ကချင်ပြည်နယ်အတွင်း,အမှတ်(၃၈၆)၊ ယုဇနရပ်ကွက်၊မြစ်ကြီးနားမြို့နယ်၊ကချင်ပြည်နယ်,"09-2400386, 09-400021530",http://uecmyanmar.org/images/stories/policals_policies/60%20Kachin%20State%20Democracy%20Party.pdf
ကချင်အမျိုးသားများဒီမိုကရေစီကွန်ဂရက်ပါတီ,The Kachin National Congress for Democracy,,8.8.2013,19,ဦးစီစီနော်ဂျာ၊ ဦးအောင်လ,22.10.2013,11.11.2013,11.12.2013,68,https://storage.googleapis.com/staticassets/political/kncd-flag.jpg,https://storage.googleapis.com/staticassets/political/kncd-logo.jpg,,ကချင်ပြည်နယ်အတွင်း,အမှတ်(၃၂၇)၊ ဒူကထောင်ရပ်ကွက်၊မြစ်ကြီးနားမြို့နယ်၊ကချင်ပြည်နယ်,09-400026208,http://uecmyanmar.org/images/stories/policals_policies/61%20The%20Kachin%20National%20Congress%20for%20Democracy.pdf
လီဆူအမျိုးသားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ(ဒူးလေးပါတီ),Lisu National Development Party,L.N.P.P,14.8.2013,17,ဦးအားခီဒါဝူ,29.10.2013,14.11.2013,17.12.2013,69,https://storage.googleapis.com/staticassets/political/62flg.jpg,https://storage.googleapis.com/staticassets/political/62logo.jpg,,ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ် (၂၈၅) ၊ နိဗ္ဗာန်လမ်း ၊ အိုးလုပ်ရပ် ၊ ထားဝယ်မြို့ ၊ တနင်္သာရီတိုင်းဒေသကြီး။,"09-47010061, 074-28192",http://uecmyanmar.org/images/stories/policals_policies/62%20Lisu%20National%20Development%20Party.pdf
ထားဝယ်တိုင်းရင်းသားများပါတီ,Dawei Nationalities Party,,16.7.2013,19,ဦးမောင်မောင်အေး၊ ဦးသန်းဆွေ,23.10.2013,20.11.2013,17.12.2013,70,https://storage.googleapis.com/staticassets/political/633flg.jpg,https://storage.googleapis.com/staticassets/political/63logo.jpg,,ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၈၇)၊ အလယ်လမ်း၊ခုံဝင်းဒပ်ရပ်၊ထားဝယ်မြို့နယ်၊တနင်္သာရီတိုင်းဒေသကြီး,"09-8595357, 09-73132317, 09-43121058",http://uecmyanmar.org/images/stories/policals_policies/63%20Dawei%20Nationalities%20Party.pdf
ဖက်ဒရယ်ပြည်ထောင်စုပါတိ,Federal Union Party,,8.8.2013,17,ဦးကမ်ကျင်ဒါးလ် ၊ ဦးစောသန်းမြင့်,28.10.2013,19.11.2013,24.12.2013,71,https://storage.googleapis.com/staticassets/political/64flg.jpg,https://storage.googleapis.com/staticassets/political/64logo.jpg,,ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၁၅)၊ ၆ လွှာ၊ ဝဲဘက်အခန်း၊ လှိုင်မြစ်လမ်း(ကမာရွတ် ဘူတာရုံလမ်း)၊ကမာရွတ်မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး,"09-49347518, 09-2042996, 09-425301500",http://uecmyanmar.org/images/stories/policals_policies/64%20Federal%20Union%20Party.pdf
ကချင်ဒီမိုကရက်တစ်ပါတီ,Kachin Democratic Party,,4.9.2013,17,ဦးကွမ်ဂေါင်အောင်ခမ်း၊ ဦးဇော်ဘန်း,29.11.2013,10.12.2013,13.1.2014,72,https://storage.googleapis.com/staticassets/political/65flag.gif,https://storage.googleapis.com/staticassets/political/65logo.gif,,ကချင်ပြည်နယ်အတွင်း,အမှတ် (၁၂)၊ ၅ လွှာ (အေ)၊ မြဝတီလမ်း၊ မြေနီကုန်း(မြောက်)ရပ်ကွက်၊ စမ်းချောင်းမြို့နယ်,09-420058863(ဥက္ကဌ),http://uecmyanmar.org/images/stories/policals_policies/65kachin%20Demoratic%20Party.pdf
ပြည်ထောင်စုပအိုဝ်းအမျိုးသားအဖွဲ့ချုပ် (ပ.အ.မ.ဖ)ပါတီ,Union Pa.O National Organization,,12.9.2013,15,ဦးခွန်အောင်စစ်၊ ဦးခွန်စိုးမြင့်,18.1.2013,6.12.2013,23.1.2014,73,https://storage.googleapis.com/staticassets/political/66flag.gif,https://storage.googleapis.com/staticassets/political/66logo.gif,,ပြည်ထောင်စုတစ်ဝန်းလုံး,အိမ်အမှတ် (ည/၁၀၉၄)၊ နယ်မြေ (၃)၊ အနောက်မြို့ပတ်လမ်း၊ ညောင်ဖြူ စခန်း ရပ်ကွက်၊ တောင်ကြီးမြို့,09-420091079(ဥက္ကဌ),http://uecmyanmar.org/images/stories/policals_policies/66Union%20Pao%20National%20Organization123.rar
ရခိုင်အမျိုးသားပါတီ,Arakan National Party,,8.11.2013,30,ဦးအေးသာအောင်၊ဒေါက်တာ အေးမောင်,13.1.2013,27.1.2014,6.3.2014,74,https://storage.googleapis.com/staticassets/political/74.gif,https://storage.googleapis.com/staticassets/political/74logo.gif,,ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၃၉၃)၊ လမ်းမကြီး လမ်းမတော် တောင် ရပ်ကွက်၊ စစ်တွေမြို့၊ ရခိုင်ပြည်နယ်။,"09-420102368(ဦးအေးသာအောင်), 09-43034111(ဒေါက်တာအေးမောင်)",Download PDF
