PartyName,PartyNameEnglish,Abbreviation,EstablishmentDate,MemberCount,Leadership,EstablishmentApprovalDate,RegistrationApplicationDate,RegistrationApprovalDate,ApprovedPartyNumber,PartyFlag,PartySeal,Chairman,Region,Headquarters,Contact,Policy
မတူကွဲပြားခြင်းနှင့်ငြိမ်းချမ်းရေးပါတီ,Peace for Diversity Party,,6.4.2010,17,ဦးညိုမင်းလွင်(နုတ်ထွက်)၊ ဦးတင်မောင်အေး,29.4.2010,24.5.2010,1.6.2010,25,https://storage.googleapis.com/staticassets/political/23-flag.jpg,https://storage.googleapis.com/staticassets/political/23-logo.jpg,ဦးနေမျိုးဝေ၊ ဦးအောင်မျိုးဦး(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အခန်း(၂/၂/၂၃၂)၊မဟော်ဂနီလမ်း၊ ထောက်ကြန့် တိုးချဲ့ရပ်ကွက်၊ မင်္ဂလာဒုံမြို့နယ် ၊  ရန်ကုန်တိုင်းဒေသကြီး။,"09-421148275(ဦးနေမျိုးဝေ), 09-8610719",http://uecmyanmar.org/images/stories/policals_policies/23Peace%20for%20Diversity%20Party%20P.D.P.pdf
ချင်းတိုးတက်ရေးပါတီ,Chin Progressive Party,,23.4.2010,22,ဦးလျှံကြယ်၊ ဦးနိုထန်ဘဲလ်(ခ)နိုထမ်ကပ်,4.5.2010,24.5.2010,1.6.2010,26,https://storage.googleapis.com/staticassets/political/24-flag.jpg,https://storage.googleapis.com/staticassets/political/24-logo.jpg,ဦးနိုထန်ဘဲလ်(ခ)နိုထမ်ကပ်၊ ဦးဇုန်လှယ်ထန်း(ထွေ/မှူး)  ,ပြည်ထောင်စုတစ်ဝန်းလုံး,တိုက် (၁၄၇)၊ (၅)လွှာ ၊ ၃၇ လမ်း(လယ်) ၊ ကျောက်တံတားမြို့နယ် ၊  ရန်ကုန်တိုင်းဒေသကြီး,"01-538328, 09-5155983(ဌာနချုပ်), 01-647420, 09-8636470(ဥက္ကဌ), 01-537352, 09-5014916(ထွေ/မှူး)",http://uecmyanmar.org/images/stories/policals_policies/24Chin%20progressive%20party.pdf
အင်းအမျိုးသားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,Inn National Development Party,,29.4.2010,15,ဦးဝင်းမြင့် ၊ ဦးအောင်ကြည်ဝင်း,4.5.2010,24.5.2010,1.6.2010,27,https://storage.googleapis.com/staticassets/political/25-flag.jpg,https://storage.googleapis.com/staticassets/political/25-logo.jpg,ဦးဝင်းမြင့် ၊ ဦးထွန်းအောင်(ထွေ/မှူး),ရှမ်းပြည်နယ်အတွင်း,အမှတ်(၂)၊ မင်္ဂလာရပ်၊ လမ်မတော်လမ်း၊ ညောင်ရွှေမြို့နယ် ၊ ရှမ်းပြည်နယ်။,"081-209599, 09-428310011(ဥက္ကဌ), 09-428310037(ဦးအောင်ကြည်ဝင်း)",http://uecmyanmar.org/images/stories/policals_policies/25Inn%20National%20Development%20Party.pdf
“ဝ”ဒီမိုကရက်တစ်ပါတီ,Wa Democratic Party,,9.4.2010,15,ဦးခွန်ထွန်းလူ(ခ)ဦးထွန်းလူ၊ ဦးစိုင်ပေါင်းနပ်,28.4.2010,25.5.2010,2.6.2010,29,https://storage.googleapis.com/staticassets/political/27-flag.jpg,https://storage.googleapis.com/staticassets/political/27-logo.jpg,ဦးခွန်ထွန်းလူ(ခ) ဦးထွန်းလူ၊ ဦးစိုင်ပေါင်းနပ်(ထွေ/မှူး),ရှမ်းပြည်နယ်အတွင်း,အမှတ်(ဇ-၄/၇)၊ သိန်းနီလမ်း၊ ရပ်ကွက်(၈)၊ လားရှိုးမြို့နယ်၊ ရှမ်းပြည်နယ်။,"082-23518, 082-23861",http://uecmyanmar.org/images/stories/policals_policies/27Wa%20Democratic%20Party.pdf
ဖလုံ-စဝေါ် ဒီမိုကရက်တစ်ပါတီ,Phlone-Sqaw Democratic Party,,23.4.2010,15,ဦးစောခင်မောင်မြင့် ၊ ဦးစောကြည်လင်း,4.5.2010,27.5.2010,4.6.2010,30,https://storage.googleapis.com/staticassets/political/28-flag.jpg,https://storage.googleapis.com/staticassets/political/28-logo.jpg,ဦးစောသိန်းအောင်၊ ဦးစောတင်လှိုင်(တွင်း/မှူး-၁),ပြည်ထောင်စုတစ်ဝန်းလုံး,ငုရွှေဝါလမ်းနှင့်အင်ကြင်း(၂)လမ်းထောင့််၊ အမှတ်(၉)ရပ်ကွက်၊ ဘားအံမြို့၊ ကရင်ပြည်နယ်။,"09-425020498(ဥက္ကဌ), 09-425032710, 058-23331(ဒု-ဥက္ကဌ), 058-23314(ရုံး), 058-22639, 09-49770115",http://uecmyanmar.org/images/stories/policals_policies/28Phlone-Sqaw%20Democratic%20Party.pdf
အမျိုးသားဖွံ့ဖြိုးတိုးတက်ရေးဒီမိုကရက်တစ်ပါတီ,National Democratic Party for Development,NDPD,26.4.2010,21,ဦးမောင်မောင်နီ၊ ဦးတော်ယူဘေဒ္ဒိန်(ယခင်)၊ ဦးလှသိန်း(ယခု),4.5.2010,27.5.2010,4.6.2010,31,https://storage.googleapis.com/staticassets/political/29-flag.jpg,https://storage.googleapis.com/staticassets/political/29-logo.jpg,ဦးမောင်မောင်နီ၊ ဦးမောင်စိန် (တွင်း/မှူး-၃),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၂၀၂/၂၀၆)၊ (၄လွှာ-ယာ)၊ ဗိုလ်ဆွန်ပက်လမ်း၊ ပန်းဘဲတမ်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-5132126(ဦးမောင်မောင်နီ), 09-5013683(ဦးဝင်းထွန်းစိုး), 09-73041634",http://uecmyanmar.org/images/stories/policals_policies/29National%20Democratic%20Party%20for%20Development.pdf
ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,Union Solidarity and Development Party,,29.4.2010,27,ဦးသိန်းစိန်၊ ဦးဌေးဦး,4.5.2010,1.6.2010,8.6.2010,32,https://storage.googleapis.com/staticassets/political/30-flag.png,https://storage.googleapis.com/staticassets/political/30-logo.png,သူရဦးရွှေမန်း ၊ ဦးမောင်မောင်သိန်း(ထွေ/မှူး),ပြည်ထောင်စုတစ်ဝန်းလုံး,အမှတ်(၅)၊ ရာဇသင်္ဂဟလမ်းနှင့်“စီ” လမ်းထောင့််၊ ဒက္ခိဏသီရိမြို့နယ်၊ နေပြည်တော်။,"09-8604001, 067-419253, 419166, 419122, 419124, 067-419125, 419250, 419244, 067-419271/419083 (ဖက်စ်)",http://uecmyanmar.org/images/stories/policals_policies/30/30.1.pdf
တိုင်းရင်းသားလူမျိုးစုများဖွံ့ဖြိုးရေးပါတီ,Ethnic National Development Party,ENDP,6.5.2010,17,ဦးဗန်ကျင်း၊ ဦးနေလောင်း,11.5.2010,8.6.2010,16.6.2010,33,https://storage.googleapis.com/staticassets/political/31-flag.jpg,https://storage.googleapis.com/staticassets/political/31-logo.jpg,ဦးဟီးဝါး၊ ဦးဆန်လှေးမန်(ထွေ/မှူး),ချင်းပြည်နယ်အတွင်း,အမှတ်(၁၀၄)၊ စန်ဘောင်ရပ်ကွက်၊ မတူပီမြို့နယ်၊ ချင်းပြည်နယ်။,070-80290,http://uecmyanmar.org/images/stories/policals_policies/31Ethnic%20National%20Development%20Party.pdf
ကမန်အမျိုးသားတိုးတက်ရေးပါတီ,Ka Man National Development Party,,25.5.2010,16,ဦးဇော်ဝင်း၊ ဦးတင်လှိုင်ဝင်း,3.6.2010,16.6.2010,5.7.2010,36,https://storage.googleapis.com/staticassets/political/32-flag.jpg,https://storage.googleapis.com/staticassets/political/32-logo.jpg,ဦးဇော်ဝင်း၊ ဦးတင်လှိုင်ဝင်း,ရခိုင်ပြည်နယ်အတွင်း,အမှတ်(၄၆၀)(၄လွှာ)၊ မြလေးရုံလမ်း၊ မေတ္တာညွန့်ရပ်ကွက်၊ တာမွေမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"09-73067314, 09-73205380, 09-73205380, 09-73103983(ဒု-ဥက္ကဌ), 09-8635745",http://uecmyanmar.org/images/stories/policals_policies/32Ka%20Man%20National%20Development%20Party.pdf
ခမီအမျိုးသားဖွံ့ဖြိုးတိုးတက်ရေးပါတီ,Kha Me National Development Party,,17.5.2010,22,ဦးဘိုးထွန်း၊ ဦးလေသာကျော်,25.5.2010,21.6.2010,9.7.2010,37,https://storage.googleapis.com/staticassets/political/33-flag.jpg,https://storage.googleapis.com/staticassets/political/33-logo.jpg,ဦးစိန်လှကျော်၊ ဦးလေသာကျော်(ထွေ/မှူး),ရခိုင်ပြည်နယ်အတွင်း,အိမ်အမှတ်(၁၁၄)အကွက်(၁)၊ဆင်ကူးလမ်း ရပ်ကွက်၊ စစ်တွေမြို့နယ်၊ ရခိုင်ပြည်နယ်။,"09-421053166, 043-23344, 043-23088, 09-425301804(ဦးသာဘန်းအောင်)",http://uecmyanmar.org/images/stories/policals_policies/33Kha%20Me%20National%20Development%20Party.pdf
